                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.7251,                  1.114,                 1.2869,                0.69447,                0.57928,                0.65822,                 0.3466,                  1.659,                 1.1316,                 1.2401,               0.006865,               0.006865,               0.006865
                     98,                 1.7356,                 1.1059,                 1.2855,                 0.6504,                0.58762,                0.63776,                0.33372,                 1.6978,                 1.1406,                 1.2585,               0.006832,               0.006832,               0.006832
                     99,                 1.7311,                 1.1045,                 1.2887,                0.67982,                0.59951,                0.64368,                0.33218,                 1.7885,                 1.2104,                 1.3093,               0.006799,               0.006799,               0.006799
                    100,                 1.7221,                 1.1006,                 1.2811,                0.70833,                0.63527,                0.68687,                0.35942,                 1.7186,                  1.102,                 1.2726,               0.006766,               0.006766,               0.006766
                    101,                 1.7235,                 1.1069,                 1.2948,                0.69004,                0.61145,                0.67142,                0.34542,                 1.7139,                 1.0955,                  1.273,               0.006733,               0.006733,               0.006733
                    102,                 1.7155,                 1.1236,                 1.2732,                0.68657,                 0.6293,                 0.6685,                0.35323,                 1.7208,                 1.1139,                 1.2707,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.7079,                 1.0979,                 1.2767,                0.60174,                0.65464,                0.62537,                0.32699,                 1.7061,                  1.206,                 1.2641,               0.006667,               0.006667,               0.006667
                    104,                 1.7186,                 1.0982,                  1.291,                0.61257,                0.57297,                0.61421,                0.33078,                 1.6847,                 1.1457,                 1.2574,               0.006634,               0.006634,               0.006634
                    105,                 1.7075,                 1.0795,                   1.28,                0.58683,                0.60175,                0.62663,                0.32785,                 1.6861,                 1.1543,                 1.2558,               0.006601,               0.006601,               0.006601
                    106,                 1.7075,                 1.0922,                 1.2793,                0.66737,                0.65345,                0.67957,                0.35463,                 1.7328,                 1.1198,                 1.2808,               0.006568,               0.006568,               0.006568
                    107,                 1.7148,                  1.093,                 1.2754,                0.60419,                0.64202,                 0.6567,                0.33796,                 1.7403,                 1.1773,                  1.289,               0.006535,               0.006535,               0.006535
                    108,                  1.705,                 1.0728,                 1.2826,                0.61251,                0.62488,                0.63854,                0.33214,                 1.6972,                 1.1487,                 1.2652,               0.006502,               0.006502,               0.006502
                    109,                 1.6967,                 1.0834,                 1.2865,                0.68994,                0.60835,                0.68852,                0.35516,                 1.7256,                 1.1151,                 1.2771,               0.006469,               0.006469,               0.006469
                    110,                 1.6987,                 1.0663,                 1.2661,                0.71124,                0.59266,                0.66488,                0.35093,                 1.7351,                 1.1825,                 1.2772,               0.006436,               0.006436,               0.006436
                    111,                 1.7132,                 1.0824,                 1.2697,                0.65529,                0.64473,                0.67365,                0.35642,                 1.6892,                 1.1481,                 1.2586,               0.006403,               0.006403,               0.006403
                    112,                 1.7017,                 1.0801,                 1.2743,                0.65757,                  0.631,                0.68937,                0.35997,                 1.6886,                 1.0544,                 1.2617,                0.00637,                0.00637,                0.00637
                    113,                 1.6921,                 1.0806,                 1.2928,                0.61221,                0.60839,                0.65329,                0.35074,                 1.7026,                 1.1635,                 1.2654,               0.006337,               0.006337,               0.006337
                    114,                 1.7124,                 1.0766,                 1.2977,                0.64699,                0.65085,                0.67609,                0.35107,                 1.7133,                 1.1885,                 1.2675,               0.006304,               0.006304,               0.006304
                    115,                 1.7032,                 1.0619,                 1.2677,                 0.6478,                0.60592,                0.66192,                0.34949,                 1.6931,                 1.1224,                 1.2555,               0.006271,               0.006271,               0.006271
                    116,                 1.6876,                 1.0522,                 1.2586,                 0.7241,                0.58881,                0.67279,                0.35414,                 1.7728,                 1.1194,                 1.2926,               0.006238,               0.006238,               0.006238
                    117,                 1.6868,                  1.072,                 1.2652,                0.66699,                0.67605,                0.69614,                0.36373,                 1.7234,                 1.0845,                 1.2777,               0.006205,               0.006205,               0.006205
                    118,                 1.6869,                 1.0547,                 1.2682,                 0.6658,                0.62901,                0.68819,                0.35866,                 1.7107,                 1.1247,                 1.2631,               0.006172,               0.006172,               0.006172
                    119,                 1.7127,                 1.0687,                 1.2745,                0.61135,                0.62813,                0.62949,                0.31185,                 1.8591,                 1.1845,                  1.358,               0.006139,               0.006139,               0.006139
                    120,                 1.6814,                  1.071,                 1.2696,                0.66523,                0.63683,                 0.6887,                0.36781,                 1.7098,                 1.0853,                 1.2669,               0.006106,               0.006106,               0.006106
                    121,                 1.6822,                 1.0483,                 1.2664,                0.60426,                0.67668,                0.66727,                0.34614,                 1.8095,                 1.1851,                  1.318,               0.006073,               0.006073,               0.006073
                    122,                 1.6871,                 1.0417,                 1.2388,                0.67066,                0.61142,                0.67445,                0.36218,                 1.7258,                  1.087,                 1.2749,                0.00604,                0.00604,                0.00604
                    123,                 1.6711,                 1.0546,                 1.2592,                0.65672,                0.61116,                  0.656,                0.34353,                 1.7673,                 1.1619,                 1.2977,               0.006007,               0.006007,               0.006007
                    124,                 1.7002,                 1.0443,                 1.2628,                0.70495,                0.58071,                0.68079,                0.35835,                 1.7433,                 1.1219,                 1.2855,               0.005974,               0.005974,               0.005974
                    125,                 1.6827,                 1.0577,                 1.2822,                0.66812,                0.64242,                0.69132,                 0.3599,                 1.7632,                 1.1176,                 1.2929,               0.005941,               0.005941,               0.005941
                    126,                 1.6591,                 1.0426,                 1.2707,                0.62129,                0.63213,                0.67321,                0.35505,                 1.7122,                 1.1055,                 1.2786,               0.005908,               0.005908,               0.005908
                    127,                 1.6695,                 1.0614,                 1.2685,                0.60876,                0.64488,                0.66354,                0.35335,                 1.6929,                 1.0824,                 1.2587,               0.005875,               0.005875,               0.005875
                    128,                 1.6735,                 1.0349,                 1.2525,                0.69347,                0.62138,                 0.6765,                0.35775,                 1.6935,                 1.1285,                 1.2702,               0.005842,               0.005842,               0.005842
                    129,                  1.663,                 1.0448,                 1.2634,                0.64219,                 0.6827,                0.69667,                0.36797,                 1.6832,                 1.1048,                 1.2542,               0.005809,               0.005809,               0.005809
                    130,                 1.6622,                 1.0187,                 1.2642,                0.68982,                 0.6424,                0.69727,                0.36141,                 1.7335,                 1.0899,                 1.2973,               0.005776,               0.005776,               0.005776
                    131,                 1.6651,                 1.0264,                 1.2609,                 0.6529,                0.66608,                0.69697,                0.36523,                 1.7188,                  1.106,                 1.2675,               0.005743,               0.005743,               0.005743
                    132,                  1.662,                 1.0236,                 1.2474,                0.67377,                0.63123,                 0.6929,                0.36937,                 1.6752,                 1.1331,                 1.2559,                0.00571,                0.00571,                0.00571
                    133,                 1.6628,                 1.0203,                 1.2617,                0.69653,                0.59443,                0.67953,                0.35722,                 1.7397,                 1.0918,                  1.278,               0.005677,               0.005677,               0.005677
