epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,286.436,1.69472,1.12855,1.28234,0.59334,0.61913,0.60387,0.32845,1.68518,1.27489,1.32715,0.005512,0.005512,0.005512
138,288.492,1.70047,1.11166,1.25752,0.63297,0.61678,0.63865,0.34288,1.68279,1.24722,1.3259,0.005479,0.005479,0.005479
139,290.653,1.69726,1.11738,1.27881,0.59522,0.61106,0.62528,0.33452,1.66123,1.24482,1.31601,0.005446,0.005446,0.005446
140,292.678,1.70153,1.13176,1.28747,0.66237,0.66586,0.68055,0.37713,1.64782,1.17295,1.30857,0.005413,0.005413,0.005413
141,294.729,1.68466,1.09183,1.27456,0.57651,0.60554,0.63549,0.34824,1.67733,1.23139,1.31956,0.00538,0.00538,0.00538
142,296.825,1.69986,1.11197,1.28193,0.57533,0.59844,0.62562,0.33111,1.72063,1.27547,1.34246,0.005347,0.005347,0.005347
143,298.866,1.68813,1.09454,1.25067,0.63515,0.64705,0.66606,0.36759,1.65677,1.17157,1.30843,0.005314,0.005314,0.005314
144,300.922,1.67071,1.12002,1.28031,0.65488,0.63593,0.67758,0.3755,1.62982,1.14694,1.30083,0.005281,0.005281,0.005281
145,302.959,1.68007,1.10754,1.27952,0.61559,0.66868,0.67177,0.37429,1.63323,1.15824,1.29999,0.005248,0.005248,0.005248
146,305.097,1.67917,1.08674,1.26228,0.6699,0.65488,0.68794,0.38626,1.6082,1.12406,1.29091,0.005215,0.005215,0.005215
147,307.188,1.68944,1.09721,1.28005,0.68153,0.63641,0.68547,0.38049,1.61906,1.13103,1.29124,0.005182,0.005182,0.005182
148,309.375,1.68483,1.10303,1.26766,0.60292,0.66135,0.66308,0.37226,1.62171,1.12967,1.29785,0.005149,0.005149,0.005149
149,311.492,1.69468,1.10055,1.28925,0.54136,0.5724,0.58865,0.31983,1.73825,1.36275,1.37019,0.005116,0.005116,0.005116
150,313.52,1.68053,1.0966,1.26868,0.65025,0.64638,0.66886,0.36862,1.62807,1.16694,1.29546,0.005083,0.005083,0.005083
151,315.603,1.65902,1.07654,1.2449,0.6075,0.6535,0.66716,0.37826,1.63151,1.26804,1.29493,0.00505,0.00505,0.00505
152,317.685,1.6801,1.09476,1.28833,0.65534,0.65918,0.67163,0.3807,1.60558,1.11395,1.28525,0.005017,0.005017,0.005017
153,319.832,1.68159,1.08207,1.26814,0.67803,0.66159,0.69611,0.39255,1.60372,1.11696,1.28819,0.004984,0.004984,0.004984
154,321.949,1.6882,1.08196,1.25976,0.64676,0.67038,0.69375,0.38771,1.63989,1.1152,1.30383,0.004951,0.004951,0.004951
155,323.933,1.67121,1.09695,1.26918,0.60673,0.6463,0.66304,0.36108,1.66399,1.16392,1.31692,0.004918,0.004918,0.004918
