epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,430.634,1.66067,1.14624,1.19975,0.66421,0.67216,0.7172,0.41675,1.56624,1.10869,1.21554,0.005017,0.005017,0.005017
153,433.393,1.64905,1.11099,1.18186,0.68797,0.63246,0.70948,0.41407,1.57612,1.10517,1.21729,0.004984,0.004984,0.004984
154,436.139,1.6524,1.11359,1.17981,0.62939,0.71193,0.71603,0.42666,1.51574,1.09999,1.19203,0.004951,0.004951,0.004951
155,439.031,1.64276,1.10819,1.18663,0.65371,0.72136,0.71862,0.42421,1.52589,1.11669,1.19508,0.004918,0.004918,0.004918
156,441.764,1.6312,1.09206,1.17994,0.6553,0.70271,0.73409,0.42853,1.55734,1.09979,1.21655,0.004885,0.004885,0.004885
157,444.642,1.63551,1.10937,1.18567,0.7072,0.68377,0.72641,0.42816,1.54583,1.10094,1.2131,0.004852,0.004852,0.004852
158,447.387,1.64519,1.11356,1.18269,0.64563,0.64898,0.68231,0.39038,1.5757,1.15402,1.21258,0.004819,0.004819,0.004819
159,450.165,1.63572,1.11091,1.18256,0.69801,0.68502,0.71534,0.42157,1.54408,1.09173,1.20108,0.004786,0.004786,0.004786
160,452.921,1.62916,1.09294,1.17783,0.69228,0.67233,0.71974,0.4245,1.5569,1.10896,1.20563,0.004753,0.004753,0.004753
161,455.702,1.63867,1.12293,1.17104,0.72392,0.64797,0.7163,0.41838,1.56065,1.11922,1.19869,0.00472,0.00472,0.00472
162,458.497,1.61924,1.08785,1.18742,0.63952,0.70279,0.71333,0.41791,1.52564,1.11236,1.19806,0.004687,0.004687,0.004687
163,461.208,1.62884,1.1068,1.19004,0.67521,0.68482,0.71883,0.42425,1.51982,1.10221,1.19773,0.004654,0.004654,0.004654
164,463.951,1.61485,1.08809,1.17994,0.70915,0.6752,0.74264,0.44711,1.51893,1.08191,1.19217,0.004621,0.004621,0.004621
165,466.882,1.63533,1.08664,1.17061,0.66702,0.68236,0.71471,0.43318,1.51826,1.12265,1.19538,0.004588,0.004588,0.004588
166,469.602,1.62505,1.08097,1.17068,0.69647,0.71043,0.74189,0.44617,1.51396,1.07889,1.19249,0.004555,0.004555,0.004555
167,472.364,1.61812,1.08803,1.16674,0.68754,0.70729,0.73785,0.44335,1.53364,1.07787,1.20124,0.004522,0.004522,0.004522
168,475.153,1.60982,1.08248,1.16927,0.65949,0.68777,0.71892,0.43132,1.51825,1.07565,1.19648,0.004489,0.004489,0.004489
169,477.922,1.60892,1.06971,1.17836,0.73311,0.70619,0.75666,0.46287,1.48995,1.03589,1.18835,0.004456,0.004456,0.004456
170,480.803,1.60508,1.06578,1.17176,0.68819,0.70232,0.73299,0.4465,1.50207,1.04797,1.18916,0.004423,0.004423,0.004423
171,483.532,1.60641,1.06379,1.16343,0.70884,0.68577,0.72804,0.43317,1.48165,1.07577,1.17933,0.00439,0.00439,0.00439
172,486.265,1.61478,1.07109,1.18463,0.69584,0.67736,0.73439,0.44125,1.48863,1.09603,1.18234,0.004357,0.004357,0.004357
173,488.999,1.60608,1.05991,1.17213,0.69364,0.69275,0.75477,0.45179,1.4827,1.04393,1.17886,0.004324,0.004324,0.004324
174,491.745,1.59966,1.06517,1.16747,0.7484,0.64286,0.75005,0.45953,1.48644,1.06509,1.17717,0.004291,0.004291,0.004291
175,494.507,1.62185,1.078,1.17374,0.69565,0.68856,0.75707,0.46116,1.49517,1.04311,1.18331,0.004258,0.004258,0.004258
176,497.25,1.61313,1.08614,1.16976,0.71463,0.68107,0.7545,0.45641,1.47987,1.03717,1.1791,0.004225,0.004225,0.004225
177,500,1.60779,1.07114,1.16667,0.69074,0.71512,0.73982,0.44496,1.47205,1.03704,1.17401,0.004192,0.004192,0.004192
178,502.758,1.61048,1.08073,1.15924,0.73778,0.69291,0.74355,0.44956,1.47739,1.03699,1.18015,0.004159,0.004159,0.004159
179,505.483,1.61215,1.06861,1.18028,0.75291,0.68838,0.7574,0.46368,1.46021,1.05214,1.16985,0.004126,0.004126,0.004126
