               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.040109,             0.11386,            0.004472,             0.76854,              0.6426,             0.70019,              0.3757,            0.040376,             0.16545,           0.0086472,            0.007492,            0.007492,            0.007492
                  78,            0.039097,             0.12098,           0.0048165,             0.74172,             0.66342,             0.70415,             0.37826,            0.039635,             0.16526,           0.0081751,            0.007459,            0.007459,            0.007459
                  79,            0.040402,             0.11731,           0.0040852,             0.76538,             0.63036,             0.70944,             0.37636,             0.04025,             0.16776,           0.0075926,            0.007426,            0.007426,            0.007426
                  80,            0.039939,             0.11189,           0.0039226,             0.71848,             0.64561,             0.68294,             0.36597,            0.040985,             0.16832,           0.0099621,            0.007393,            0.007393,            0.007393
                  81,            0.040315,             0.11546,           0.0043547,             0.77052,             0.63699,              0.6991,             0.38049,            0.041303,             0.17065,           0.0082655,             0.00736,             0.00736,             0.00736
                  82,            0.039041,             0.11358,            0.004002,             0.77375,             0.64784,             0.71034,             0.37871,            0.041921,             0.17075,            0.008218,            0.007327,            0.007327,            0.007327
                  83,            0.039093,             0.11669,           0.0040921,             0.75058,             0.69831,             0.71619,             0.38569,            0.040052,             0.16602,           0.0082935,            0.007294,            0.007294,            0.007294
                  84,            0.040104,             0.11686,           0.0035583,             0.78257,             0.64587,             0.69062,             0.36236,            0.041439,             0.16934,           0.0091776,            0.007261,            0.007261,            0.007261
                  85,            0.040062,             0.11486,           0.0038652,             0.72117,             0.67921,             0.71811,             0.39028,            0.040345,             0.16644,           0.0088938,            0.007228,            0.007228,            0.007228
                  86,            0.039262,             0.11207,           0.0040585,             0.74274,             0.67781,             0.71721,             0.39289,            0.041019,             0.16606,           0.0085939,            0.007195,            0.007195,            0.007195
                  87,            0.039829,             0.11568,           0.0038895,             0.79669,             0.62981,             0.71335,              0.3765,            0.040652,             0.16872,           0.0078712,            0.007162,            0.007162,            0.007162
                  88,            0.039137,             0.11265,           0.0036946,             0.76491,             0.62203,             0.68208,              0.3657,            0.041862,             0.17751,           0.0077774,            0.007129,            0.007129,            0.007129
                  89,            0.038379,             0.10966,           0.0037793,             0.75872,             0.60738,             0.70054,             0.37807,            0.041059,             0.16811,           0.0084143,            0.007096,            0.007096,            0.007096
                  90,             0.03839,             0.11351,           0.0034716,             0.82265,              0.5907,             0.68157,             0.37693,            0.042131,             0.18145,           0.0083834,            0.007063,            0.007063,            0.007063
                  91,             0.03835,             0.11465,           0.0038016,             0.73886,             0.64613,             0.68563,             0.34218,            0.044001,             0.17757,           0.0078117,             0.00703,             0.00703,             0.00703
                  92,            0.040218,             0.10892,           0.0033803,             0.66605,             0.61647,             0.64457,             0.35503,            0.042077,             0.17949,            0.011854,            0.006997,            0.006997,            0.006997
                  93,             0.03865,             0.11275,           0.0032771,             0.67835,              0.6187,             0.63922,             0.33122,             0.04353,              0.1794,           0.0091507,            0.006964,            0.006964,            0.006964
                  94,            0.037298,              0.1127,           0.0039199,             0.70662,             0.62777,             0.67851,             0.37616,            0.040074,             0.16973,           0.0085831,            0.006931,            0.006931,            0.006931
                  95,            0.037802,             0.10984,           0.0032203,             0.67085,             0.66539,             0.67885,             0.36773,              0.0429,             0.17157,           0.0073523,            0.006898,            0.006898,            0.006898
                  96,            0.038911,             0.11025,           0.0032493,             0.72721,             0.62018,              0.6632,             0.35604,            0.041625,             0.17434,           0.0085962,            0.006865,            0.006865,            0.006865
                  97,              0.0382,             0.10957,            0.003458,             0.73309,             0.60429,             0.66515,              0.3531,            0.043259,             0.18285,            0.008519,            0.006832,            0.006832,            0.006832
                  98,            0.038278,             0.11387,           0.0032747,             0.72292,              0.6169,             0.65732,             0.34275,            0.043544,              0.1784,            0.010097,            0.006799,            0.006799,            0.006799
                  99,            0.037649,             0.11172,           0.0033305,             0.79333,             0.60401,             0.68438,             0.37025,            0.040957,             0.17288,           0.0088703,            0.006766,            0.006766,            0.006766
                 100,            0.037181,             0.10908,           0.0028738,              0.7302,             0.65954,             0.70878,             0.38978,            0.041136,             0.17053,           0.0074461,            0.006733,            0.006733,            0.006733
                 101,            0.037905,             0.10523,           0.0027088,             0.73203,             0.62695,             0.69424,             0.37252,            0.042149,             0.18256,           0.0080915,              0.0067,              0.0067,              0.0067
                 102,            0.038377,              0.1091,           0.0032605,             0.75797,             0.62208,             0.68804,             0.37387,            0.041216,             0.17572,           0.0078083,            0.006667,            0.006667,            0.006667
                 103,            0.037692,             0.11242,           0.0034774,             0.70017,             0.65274,             0.67687,             0.36631,            0.040725,             0.17203,           0.0088932,            0.006634,            0.006634,            0.006634
                 104,            0.037509,             0.10849,           0.0030612,             0.74323,             0.65208,             0.68645,              0.3781,            0.040901,             0.17558,           0.0087496,            0.006601,            0.006601,            0.006601
                 105,            0.037317,             0.10767,            0.002716,              0.7259,             0.64701,             0.68399,             0.37427,             0.04221,             0.17918,            0.008709,            0.006568,            0.006568,            0.006568
                 106,            0.036549,             0.10983,           0.0030509,             0.73579,             0.61529,             0.68679,             0.38242,             0.04144,             0.17536,            0.007933,            0.006535,            0.006535,            0.006535
                 107,            0.036903,             0.10841,           0.0029235,              0.7421,             0.62687,             0.70013,             0.37442,            0.041257,             0.17088,           0.0077671,            0.006502,            0.006502,            0.006502
                 108,            0.037258,             0.10999,             0.00283,             0.74875,             0.63537,             0.69349,              0.3667,            0.041748,             0.17123,           0.0092674,            0.006469,            0.006469,            0.006469
                 109,            0.036654,             0.11031,           0.0028113,             0.78473,             0.62504,             0.70576,             0.37376,            0.040673,             0.17162,           0.0090054,            0.006436,            0.006436,            0.006436
                 110,            0.035988,             0.10631,           0.0027823,             0.75985,             0.62504,             0.68897,             0.37643,            0.040582,             0.17697,           0.0086861,            0.006403,            0.006403,            0.006403
                 111,            0.036759,             0.10549,           0.0028548,             0.75368,              0.6486,             0.68233,             0.37855,            0.040194,             0.17617,           0.0083908,             0.00637,             0.00637,             0.00637
                 112,            0.037184,             0.10869,           0.0025292,             0.74572,             0.61805,             0.67814,             0.36731,            0.040849,             0.17401,           0.0093533,            0.006337,            0.006337,            0.006337
                 113,             0.03579,             0.10399,           0.0026067,             0.69392,             0.64472,             0.67648,             0.36974,            0.040686,             0.17632,           0.0083239,            0.006304,            0.006304,            0.006304
                 114,             0.03653,              0.1078,           0.0026548,             0.71422,             0.62876,             0.67518,              0.3688,            0.040375,             0.17831,           0.0090448,            0.006271,            0.006271,            0.006271
                 115,            0.036275,             0.10433,           0.0027865,             0.79288,              0.6389,              0.7139,              0.3904,            0.040558,             0.17807,           0.0067217,            0.006238,            0.006238,            0.006238
                 116,            0.035955,             0.10428,           0.0024205,             0.73766,             0.61566,             0.66578,             0.34321,            0.044372,             0.18878,           0.0083994,            0.006205,            0.006205,            0.006205
                 117,            0.036002,             0.10464,           0.0023611,             0.70744,             0.61743,             0.66187,             0.35464,            0.041764,             0.18488,            0.010275,            0.006172,            0.006172,            0.006172
                 118,             0.03585,              0.1091,           0.0023176,             0.81112,              0.5885,             0.66825,             0.36593,            0.042425,             0.18955,           0.0097229,            0.006139,            0.006139,            0.006139
                 119,            0.036623,             0.10284,           0.0025434,             0.74559,             0.59671,              0.6517,             0.35255,            0.042585,             0.18633,           0.0093172,            0.006106,            0.006106,            0.006106
                 120,            0.036125,              0.1073,           0.0023581,             0.73947,             0.62974,             0.68175,             0.36832,            0.042883,             0.18853,           0.0077974,            0.006073,            0.006073,            0.006073
                 121,            0.036086,             0.10863,           0.0025934,             0.77515,             0.60605,             0.68821,             0.34703,            0.043035,             0.17537,           0.0076618,             0.00604,             0.00604,             0.00604
                 122,            0.036166,              0.1038,            0.002362,             0.71792,             0.62335,             0.67765,             0.36241,            0.042338,             0.18018,           0.0087673,            0.006007,            0.006007,            0.006007
                 123,            0.035318,             0.10306,           0.0024854,              0.7491,             0.55513,             0.63273,             0.33088,            0.043439,             0.19984,           0.0099461,            0.005974,            0.005974,            0.005974
                 124,            0.034993,             0.10204,           0.0025707,             0.77467,             0.59797,             0.65133,             0.34681,            0.043314,             0.19332,           0.0094683,            0.005941,            0.005941,            0.005941
                 125,            0.035437,             0.10267,           0.0023944,             0.63928,             0.70787,              0.6925,             0.36264,            0.043186,             0.18165,           0.0079411,            0.005908,            0.005908,            0.005908
                 126,            0.035637,             0.10427,           0.0023773,             0.70338,             0.64459,             0.68183,             0.36422,            0.041327,             0.18291,           0.0075399,            0.005875,            0.005875,            0.005875
                 127,            0.035853,             0.10407,           0.0023831,             0.74755,             0.65313,             0.69234,             0.37876,            0.041389,             0.18087,           0.0087061,            0.005842,            0.005842,            0.005842
                 128,            0.035071,             0.10199,           0.0022039,             0.68377,             0.66823,             0.68132,             0.37087,            0.040818,             0.17814,           0.0089241,            0.005809,            0.005809,            0.005809
                 129,            0.035407,             0.10272,           0.0020399,             0.73284,             0.65337,             0.68884,             0.36909,            0.040508,             0.17447,           0.0084251,            0.005776,            0.005776,            0.005776
                 130,            0.034899,             0.10492,           0.0023235,             0.69981,              0.6628,             0.69066,             0.37543,            0.040036,             0.17842,           0.0086082,            0.005743,            0.005743,            0.005743
                 131,            0.035654,            0.098831,           0.0019893,             0.76929,             0.61823,             0.67481,              0.3705,            0.041456,             0.19815,            0.008357,             0.00571,             0.00571,             0.00571
                 132,            0.034968,             0.10235,           0.0021199,             0.74708,             0.63851,             0.67112,             0.36476,             0.04174,             0.19667,           0.0087736,            0.005677,            0.005677,            0.005677
                 133,            0.034103,            0.097755,           0.0022236,             0.74142,             0.59644,             0.66193,             0.35258,            0.042417,             0.20489,           0.0087851,            0.005644,            0.005644,            0.005644
                 134,            0.034145,             0.10082,           0.0021278,             0.78754,             0.60393,             0.67267,             0.36206,            0.040604,             0.18304,           0.0082953,            0.005611,            0.005611,            0.005611
                 135,            0.035548,             0.10438,           0.0019881,             0.73289,             0.62176,             0.66565,             0.35357,            0.040826,             0.18199,             0.01067,            0.005578,            0.005578,            0.005578
                 136,             0.03604,               0.106,           0.0020352,             0.77299,             0.62809,             0.68153,             0.36239,            0.042107,             0.18124,           0.0084532,            0.005545,            0.005545,            0.005545
                 137,            0.035228,            0.099457,           0.0019374,             0.78613,             0.59848,              0.6708,             0.35947,            0.042092,             0.18342,            0.008725,            0.005512,            0.005512,            0.005512
                 138,            0.035051,            0.097687,           0.0021761,             0.72507,              0.6022,             0.65319,              0.3469,            0.043008,              0.1882,            0.010815,            0.005479,            0.005479,            0.005479
                 139,            0.035032,              0.1034,            0.002177,             0.71091,             0.61793,             0.65149,             0.35172,            0.042402,             0.19624,           0.0098059,            0.005446,            0.005446,            0.005446
                 140,            0.033994,            0.095285,           0.0019821,             0.76966,             0.60255,             0.65665,             0.35375,            0.044206,             0.19875,           0.0085196,            0.005413,            0.005413,            0.005413
                 141,            0.034755,             0.10054,           0.0019658,             0.76123,             0.62808,             0.66647,             0.34701,             0.04402,             0.19081,           0.0086254,             0.00538,             0.00538,             0.00538
                 142,            0.034436,             0.10026,           0.0019304,             0.75396,             0.63624,             0.67005,             0.36946,            0.041325,             0.18787,           0.0083399,            0.005347,            0.005347,            0.005347
                 143,            0.033778,             0.10059,           0.0019243,              0.7197,             0.62698,             0.67875,             0.35757,            0.041754,             0.17958,           0.0093304,            0.005314,            0.005314,            0.005314
                 144,            0.034067,            0.097527,           0.0019352,             0.72376,             0.63481,             0.67347,             0.36357,            0.041357,             0.18616,           0.0098064,            0.005281,            0.005281,            0.005281
                 145,            0.033639,            0.099806,           0.0016928,             0.71237,             0.66521,             0.67739,             0.36614,            0.041101,             0.18394,           0.0091627,            0.005248,            0.005248,            0.005248
                 146,            0.033523,            0.098531,           0.0019057,             0.70273,             0.65365,             0.67537,             0.36913,            0.041092,             0.18798,            0.008555,            0.005215,            0.005215,            0.005215
                 147,            0.033567,             0.10011,           0.0019298,             0.78141,             0.61525,             0.66165,             0.36208,            0.042073,             0.19102,           0.0088463,            0.005182,            0.005182,            0.005182
                 148,            0.033115,            0.093306,           0.0018357,              0.7587,              0.6145,             0.67757,             0.37414,            0.041193,             0.19389,            0.009236,            0.005149,            0.005149,            0.005149
                 149,            0.033686,            0.098117,           0.0019383,             0.76749,             0.62344,             0.67639,              0.3702,            0.041476,             0.18928,           0.0086706,            0.005116,            0.005116,            0.005116
                 150,             0.03398,            0.096451,           0.0018576,             0.79433,             0.62699,             0.70403,             0.38361,            0.041034,             0.18301,           0.0081156,            0.005083,            0.005083,            0.005083
                 151,            0.033793,            0.099633,           0.0017576,             0.76452,             0.66188,             0.68721,             0.37049,            0.041526,             0.18631,           0.0087593,             0.00505,             0.00505,             0.00505
                 152,             0.03321,            0.099377,           0.0018782,             0.82323,             0.60087,             0.69444,              0.3781,            0.041413,             0.19224,           0.0082043,            0.005017,            0.005017,            0.005017
                 153,            0.033631,            0.097674,            0.001723,             0.77503,             0.64174,              0.7074,             0.37998,            0.041309,             0.18185,           0.0075096,            0.004984,            0.004984,            0.004984
                 154,            0.032368,            0.095554,           0.0018674,              0.7346,             0.65414,             0.70716,             0.37755,            0.041324,              0.1809,           0.0072407,            0.004951,            0.004951,            0.004951
                 155,            0.033215,            0.099266,           0.0018939,             0.77133,             0.59855,             0.69146,             0.36496,            0.041846,               0.187,           0.0078804,            0.004918,            0.004918,            0.004918
                 156,            0.032658,             0.09432,           0.0018076,             0.77196,             0.61504,             0.67912,             0.37145,             0.04184,             0.19368,           0.0087296,            0.004885,            0.004885,            0.004885
                 157,            0.033169,            0.096596,           0.0019922,             0.81138,             0.61406,             0.68534,             0.37084,            0.042055,             0.19029,           0.0092016,            0.004852,            0.004852,            0.004852
                 158,            0.032313,            0.096394,           0.0017969,             0.72411,             0.67155,             0.70011,             0.38255,            0.041419,             0.18456,           0.0071995,            0.004819,            0.004819,            0.004819
                 159,             0.03271,            0.098767,            0.001735,             0.74784,             0.64492,             0.68722,             0.37407,            0.041505,              0.1852,           0.0083588,            0.004786,            0.004786,            0.004786
                 160,            0.033419,             0.09632,           0.0016081,             0.76852,             0.62716,             0.67503,             0.35449,             0.04403,             0.18721,           0.0076332,            0.004753,            0.004753,            0.004753
                 161,            0.032292,            0.096134,            0.001849,             0.75851,             0.63543,             0.67403,             0.36431,             0.04333,              0.1983,           0.0075588,             0.00472,             0.00472,             0.00472
